,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand_name
2023,2015,550000,41000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,Hyundai
2024,2006,120000,30000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti
2025,2015,320000,30000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5.0,Maruti
2026,2011,250000,35000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,5.0,Hyundai
2027,2010,300000,22000,Petrol,Individual,Manual,First Owner,15.0,1586,104.68,5.0,Maruti
2028,2006,250000,70000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5.0,Maruti
2029,2018,750000,70000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7.0,Mahindra
2030,2005,151000,200000,Diesel,Individual,Manual,Second Owner,10.5,2179,120.0,8.0,Mahindra
2031,2011,300000,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7.0,Tata
2032,2019,577000,3000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,5.0,Maruti
2033,2012,229999,50000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5.0,Maruti
2034,2013,500000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7.0,Mahindra
2035,2019,840000,1500,Petrol,Individual,Automatic,First Owner,18.2,1199,88.7,5.0,Honda
2036,2017,900000,74000,Diesel,Individual,Manual,First Owner,22.27,1498,108.6,5.0,Volkswagen
2037,2017,650000,25000,Petrol,Individual,Manual,First Owner,18.7,1199,88.7,5.0,Honda
2038,2016,650000,61915,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,5.0,Honda
2039,2016,250000,110000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5.0,Hyundai
2040,2016,550000,70000,Diesel,Individual,Manual,First Owner,20.14,1498,88.0,5.0,Volkswagen
2041,2007,250000,150000,Diesel,Individual,Manual,Fourth & Above Owner,17.8,1248,75.0,5.0,Maruti
2042,2013,350000,110000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,7.0,Mahindra
2043,2014,185000,90000,Diesel,Individual,Manual,Second Owner,25.44,936,56.3,5.0,Chevrolet
2044,2010,229999,120000,Petrol,Individual,Manual,Third Owner,15.6,1196,70.0,5.0,Ford
2045,2016,1000000,65000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8.0,Toyota
2046,2019,490000,10000,Petrol,Individual,Manual,First Owner,20.52,1197,81.8,5.0,Maruti
2047,2009,150000,80000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,Hyundai
2048,2013,600000,184000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7.0,Maruti
2049,2013,270000,80000,CNG,Individual,Manual,Second Owner,32.52,998,58.33,5.0,Maruti
2050,2005,60000,70000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5.0,Maruti
2051,2008,150000,89000,Petrol,Individual,Manual,Second Owner,15.6,1586,104.68,5.0,Maruti
2052,2013,525000,69000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Maruti
2053,2012,83000,90000,Diesel,Individual,Manual,Second Owner,25.0,1396,69.0,5.0,Tata
2054,2017,300000,8000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5.0,Hyundai
2055,2012,350000,35000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,5.0,Hyundai
2056,2011,300000,45000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,5.0,Hyundai
2057,2011,250000,30000,Diesel,Individual,Manual,First Owner,20.4,1248,91.2,5.0,Fiat
2058,2006,114999,59000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4.0,Maruti
2059,2018,700000,6200,Petrol,Individual,Manual,First Owner,19.34,1462,103.0,7.0,Maruti
2060,2020,250000,120000,Petrol,Individual,Manual,Second Owner,21.63,998,67.0,5.0,Maruti
2061,2016,350000,70000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,Maruti
2062,1998,80000,70000,Petrol,Individual,Manual,First Owner,14.0,796,35.0,5.0,Maruti
2063,2017,850000,110000,Diesel,Individual,Manual,First Owner,15.4,2523,75.0,7.0,Mahindra
2064,2007,90000,93000,Petrol,Individual,Manual,Third Owner,18.0,995,62.0,5.0,Chevrolet
2065,2014,600000,110000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,10.0,Chevrolet
2066,2007,135000,57000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5.0,Maruti
2067,2005,150000,120000,Petrol,Individual,Manual,First Owner,13.2,1495,94.0,5.0,Hyundai
2068,2009,240000,120000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5.0,Maruti
2069,2018,946000,60000,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,5.0,Hyundai
2070,2011,215000,70000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5.0,Tata
2071,1999,50000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,5.0,Maruti
2072,2013,310000,100000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5.0,Honda
2073,2008,220000,35000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5.0,Hyundai
2074,2008,195000,90000,Diesel,Individual,Manual,Third Owner,17.8,1248,75.0,5.0,Maruti
2075,2015,650000,50000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5.0,Hyundai
2076,2011,350000,98000,Petrol,Individual,Manual,First Owner,18.5,1197,80.0,5.0,Hyundai
2077,2013,360000,30000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5.0,Hyundai
2078,2013,550000,50000,Petrol,Individual,Manual,Second Owner,16.3,1797,147.5,5.0,Hyundai
2079,2016,490000,26000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,Hyundai
2080,2011,195000,46000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti
2081,2010,125000,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5.0,Maruti
2082,2019,459999,10000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5.0,Tata
2083,2015,275000,16700,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,Maruti
2084,2018,680000,70000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5.0,Maruti
2085,2015,600000,7967,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5.0,Maruti
2086,2018,720000,20000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5.0,Maruti
2087,2016,356000,9656,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5.0,Renault
2088,2011,225000,50000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5.0,Hyundai
2089,2019,725000,17000,Diesel,Individual,Manual,First Owner,24.4,1498,98.63,5.0,Ford
2090,2010,130000,50000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5.0,Chevrolet
2091,2015,300000,10000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5.0,Renault
2092,2013,400000,43000,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5.0,Hyundai
2093,2013,550000,50000,Diesel,Individual,Manual,First Owner,23.5,1396,88.7,5.0,Hyundai
2094,2006,120000,90000,Petrol,Individual,Manual,Second Owner,18.9,998,67.0,5.0,Maruti
2095,2012,409999,100000,Diesel,Individual,Manual,Second Owner,14.0,2498,112.0,8.0,Mahindra
2096,2010,110000,80000,Petrol,Individual,Manual,Second Owner,0.0,1086,62.1,5.0,Hyundai
2097,2012,450000,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7.0,Mahindra
2098,2019,610000,5000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5.0,Maruti
2099,2016,515000,68609,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,5.0,Ford
2100,2018,925000,33360,Diesel,Dealer,Manual,First Owner,22.77,1498,98.59,5.0,Ford
2101,2019,860000,14317,Petrol,Dealer,Manual,First Owner,14.23,1498,104.55,5.0,Nissan
2102,2012,225000,87237,Diesel,Dealer,Manual,Second Owner,20.0,1399,68.05,5.0,Ford
2103,2017,500000,62960,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5.0,Ford
2104,2017,600000,26634,Petrol,Dealer,Automatic,First Owner,21.21,1197,81.8,5.0,Maruti
2105,2012,195000,163720,Diesel,Dealer,Manual,First Owner,18.5,1399,68.0,5.0,Ford
2106,2012,265000,67998,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,5.0,Maruti
2107,2018,650000,20706,Diesel,Dealer,Manual,First Owner,23.8,1499,98.63,5.0,Ford
2108,2015,415000,100581,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5.0,Ford
2109,2015,600000,67303,Diesel,Dealer,Manual,First Owner,20.45,1461,83.8,5.0,Renault
2110,2013,340000,79139,Petrol,Dealer,Manual,First Owner,18.5,1197,85.8,5.0,Maruti
2111,2014,350000,84784,Diesel,Dealer,Manual,First Owner,24.0,1120,70.0,5.0,Hyundai
2112,2012,265000,130376,Diesel,Dealer,Manual,Second Owner,23.2,1248,73.94,5.0,Maruti
2113,2017,625000,72000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7.0,Tata
2114,2008,245000,127000,Diesel,Individual,Manual,Second Owner,16.8,1493,110.0,5.0,Hyundai
2115,2014,395000,120000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5.0,Maruti
2116,2014,490000,100000,Diesel,Individual,Manual,First Owner,24.4,1120,71.0,5.0,Hyundai
2117,2018,955000,40000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7.0,Maruti
2118,2013,525000,110000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5.0,Maruti
2119,2017,550000,30000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5.0,Tata
2120,2014,200000,120000,Diesel,Individual,Manual,Second Owner,19.1,1405,70.0,5.0,Tata
2121,2017,500000,15000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5.0,Ford
2122,2016,825000,33500,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5.0,Maruti
2123,2012,250000,70000,Diesel,Individual,Manual,First Owner,17.21,1493,100.0,7.0,Mahindra
2124,2015,600000,10000,Petrol,Individual,Manual,First Owner,18.16,1197,78.8,5.0,Toyota
2125,2018,1325000,22053,Diesel,Individual,Manual,First Owner,16.36,2179,120.0,7.0,Mahindra
2126,2016,770000,50000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7.0,Mahindra
2127,2011,415000,78432,Diesel,Individual,Manual,First Owner,16.52,1991,123.7,5.0,Chevrolet
2128,2011,825000,125000,Diesel,Individual,Manual,Second Owner,14.66,2199,194.3,7.0,Hyundai
2129,2018,530000,80000,Diesel,Individual,Manual,First Owner,26.1,1498,99.23,5.0,Ford
2130,2006,425000,270000,Diesel,Individual,Manual,Third Owner,12.8,2494,102.0,8.0,Toyota
2131,2012,310000,50000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5.0,Honda
2132,2017,390000,20000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5.0,Tata
2133,2016,700000,30000,Petrol,Individual,Manual,First Owner,15.29,1591,121.3,5.0,Hyundai
2134,2010,200000,70000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5.0,Hyundai
2135,2013,1050000,7200,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8.0,Toyota
2136,2014,580000,97000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5.0,Honda
2137,2014,200000,60000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5.0,Hyundai
2138,2013,245000,25000,Petrol,Individual,Manual,First Owner,18.2,1199,84.8,5.0,Chevrolet
2139,2010,210000,94000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,Hyundai
2140,2005,50000,90000,Petrol,Individual,Manual,Second Owner,15.4,1590,94.0,5.0,Maruti
2141,2012,700000,50000,Diesel,Individual,Automatic,Second Owner,12.12,2231,184.0,7.0,Chevrolet
2142,2019,660000,35000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5.0,Tata
2143,2015,630000,117500,Petrol,Individual,Manual,Second Owner,17.4,1497,117.3,5.0,Honda
2144,2012,950000,78500,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7.0,Mahindra
2145,2018,740000,8000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,Hyundai
2146,2017,570000,25000,Petrol,Individual,Manual,First Owner,18.12,1196,86.8,5.0,Ford
2147,2012,450000,60000,Diesel,Individual,Manual,Third Owner,22.32,1582,126.32,5.0,Hyundai
2148,2019,390000,10000,Petrol,Individual,Manual,First Owner,22.5,999,67.0,5.0,Datsun
2149,2009,180000,70000,Petrol,Individual,Manual,Second Owner,14.2,1597,92.0,5.0,Ford
2150,2015,130000,60000,Petrol,Individual,Manual,First Owner,25.4,624,37.48,4.0,Tata
2151,2006,270000,70000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5.0,Honda
2152,1997,60000,25000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4.0,Maruti
2153,2006,170000,90000,Petrol,Individual,Manual,Third Owner,13.9,1599,103.2,5.0,Hyundai
2154,2015,978999,90000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5.0,Hyundai
2155,2018,490000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5.0,Tata
2156,2012,280000,60000,Diesel,Individual,Manual,Second Owner,23.5,1498,88.7,5.0,Ford
2157,2018,390000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5.0,Tata
2158,2013,170000,60000,Petrol,Individual,Manual,Fourth & Above Owner,22.74,796,47.3,5.0,Maruti
2159,2008,45000,70000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5.0,Chevrolet
2160,2016,640000,80000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7.0,Maruti
2161,2015,650000,110000,Diesel,Individual,Manual,Second Owner,15.4,2523,75.0,9.0,Mahindra
2162,2013,500000,115717,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9.0,Mahindra
2163,2008,90000,110000,Diesel,Individual,Manual,Second Owner,17.7,1399,68.0,5.0,Ford
2164,2014,480000,70000,Diesel,Individual,Manual,Second Owner,15.05,2179,147.9,7.0,Tata
2165,2019,630000,4000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5.0,Maruti
2166,2011,250000,50000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5.0,Hyundai
2167,2016,330000,70000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1197,82.0,5.0,Hyundai
2168,2009,180000,70000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,Hyundai
2169,2010,210000,50000,Petrol,Individual,Manual,Second Owner,18.5,1197,80.0,5.0,Hyundai
2170,2016,550000,55000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti
2171,2020,950000,5000,Petrol,Individual,Automatic,First Owner,17.0,1198,108.5,5.0,Tata
2172,2013,430000,100000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7.0,Mahindra
2173,2014,348000,23000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,Hyundai
2174,2014,196000,60000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5.0,Maruti
2175,2010,150000,70000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5.0,Maruti
2176,2009,150000,60000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5.0,Maruti
2177,2019,1250000,100000,Diesel,Individual,Manual,First Owner,14.1,2179,153.86,7.0,Tata
2178,2015,600000,90000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7.0,Maruti
2179,2010,65000,26432,Petrol,Dealer,Manual,First Owner,25.4,624,37.48,4.0,Tata
2180,2016,220000,46702,Petrol,Dealer,Manual,First Owner,16.8,796,34.2,8.0,Maruti
2181,2016,220000,46706,Petrol,Dealer,Manual,First Owner,16.8,796,34.2,8.0,Maruti
2182,2006,110000,53523,Petrol,Dealer,Manual,First Owner,16.84,1193,64.4,5.0,Tata
2183,2012,175000,56365,Diesel,Dealer,Manual,First Owner,25.44,936,56.3,5.0,Chevrolet
2184,2011,160000,49563,Petrol,Dealer,Manual,First Owner,16.2,995,62.1,5.0,Chevrolet
2185,2004,65000,56432,Petrol,Dealer,Manual,First Owner,16.1,796,37.0,4.0,Maruti
2186,2002,60000,52365,Petrol,Dealer,Manual,Second Owner,16.1,796,37.0,4.0,Maruti
2187,2007,120000,53512,Petrol,Dealer,Manual,Second Owner,19.7,796,46.3,5.0,Maruti
2188,2013,1000000,40000,Diesel,Individual,Automatic,First Owner,11.18,2696,184.0,7.0,Mahindra
2189,2010,220000,46533,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,5.0,Maruti
2190,2008,114999,58632,Petrol,Dealer,Manual,Second Owner,14.0,796,35.0,5.0,Maruti
2191,2016,850000,80000,Diesel,Individual,Automatic,Second Owner,16.0,2179,140.0,7.0,Mahindra
2192,2016,750000,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7.0,Maruti
2193,2017,265000,90000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5.0,Renault
2194,2014,450000,110000,Petrol,Individual,Manual,Second Owner,14.09,1596,99.6,5.0,Ford
2195,2013,225000,90000,Diesel,Individual,Manual,First Owner,17.21,1493,100.0,7.0,Mahindra
2196,2015,1125000,70000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,7.0,Mahindra
2197,2009,270000,80000,Petrol,Individual,Manual,First Owner,16.6,1197,85.0,5.0,Maruti
2198,2007,130000,78000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5.0,Maruti
2199,2017,660000,45000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7.0,Mahindra
2200,2015,240000,50000,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,5.0,Maruti
2201,2017,275000,58000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,Maruti
2202,2012,750000,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8.0,Toyota
2203,2007,65000,30000,Petrol,Individual,Manual,Second Owner,14.7,1150,76.0,5.0,Chevrolet
2204,2017,850000,162000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7.0,Tata
2205,2016,300000,50000,CNG,Individual,Manual,Second Owner,26.6,998,58.16,5.0,Maruti
2206,2018,555000,25000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5.0,Hyundai
2207,2015,825000,60000,Diesel,Individual,Manual,First Owner,15.4,1997,120.0,7.0,Mahindra
2208,2010,150000,70000,LPG,Individual,Manual,Third Owner,13.45,1086,62.1,5.0,Hyundai
2209,2009,185000,138000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5.0,Maruti
2210,2010,180000,70000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,Hyundai
2211,2010,160000,48000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti
2212,2012,500000,110000,Diesel,Individual,Automatic,First Owner,11.4,2953,153.86,7.0,Ford
2213,2014,375000,88000,Diesel,Individual,Manual,Second Owner,25.2,1248,74.0,5.0,Maruti
2214,2015,900000,68000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7.0,Toyota
2215,2017,459999,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,Hyundai
2216,2014,480000,80000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5.0,Renault
2217,2013,320000,100000,Diesel,Individual,Manual,Third Owner,22.9,1248,74.0,5.0,Maruti
2218,2013,370000,96000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Maruti
2219,2002,75000,30000,Petrol,Individual,Manual,Third Owner,17.3,993,60.0,5.0,Maruti
2220,2016,400000,60000,Diesel,Individual,Manual,Third Owner,23.2,1248,73.94,5.0,Maruti
2221,2014,425000,65000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5.0,Maruti
2222,2014,325000,48000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5.0,Maruti
2223,2016,350000,65300,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5.0,Hyundai
2224,2018,600000,40000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,Hyundai
2225,2012,120000,60000,Diesel,Individual,Manual,Second Owner,25.44,936,57.6,5.0,Chevrolet
2226,2012,200000,70000,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,5.0,Maruti
2227,2008,100000,70000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5.0,Maruti
2228,2014,350000,70000,Diesel,Individual,Manual,Second Owner,24.0,1120,70.0,5.0,Hyundai
2229,2006,85000,150000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti
2230,2019,399000,10000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5.0,Maruti
2231,2014,580000,56000,Diesel,Individual,Manual,First Owner,22.32,1582,126.3,5.0,Hyundai
2232,2017,290000,30000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5.0,Datsun
2233,2014,380000,50000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5.0,Hyundai
2234,2010,200000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5.0,Ford
2235,2018,390000,40000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5.0,Maruti
2236,2017,500000,27500,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5.0,Hyundai
2237,2012,520000,73000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7.0,Maruti
2238,2017,650000,75000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti
2239,2018,380000,5000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5.0,Renault
2240,2010,275000,50000,LPG,Individual,Manual,First Owner,26.2,998,58.2,5.0,Maruti
2241,2015,520000,70000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti
2242,2015,610000,60000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti
2243,2004,85000,110000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5.0,Maruti
2244,2013,490000,95000,Diesel,Individual,Manual,First Owner,20.46,1461,83.8,5.0,Renault
2245,2015,229999,34000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5.0,Hyundai
2246,2015,411000,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,Hyundai
2247,2019,362000,120000,CNG,Individual,Manual,Second Owner,21.94,1196,61.7,5.0,Maruti
2248,2014,550000,31000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,5.0,Toyota
2249,2018,459999,70000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5.0,Maruti
2250,2011,190000,47000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5.0,Maruti
2251,2019,499000,5000,Petrol,Individual,Automatic,First Owner,20.3,1086,68.0,5.0,Hyundai
2252,2018,358000,44000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,7.0,Maruti
2253,2012,278000,120000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.1,5.0,Toyota
2254,2014,320000,39395,Diesel,Individual,Manual,First Owner,21.2,1248,75.0,5.0,Fiat
2255,2013,580000,67000,Diesel,Individual,Manual,Second Owner,20.4,1461,108.5,5.0,Renault
2256,2019,1300000,20000,Petrol,Individual,Automatic,First Owner,17.4,1497,117.6,5.0,Honda
2257,2018,825000,40000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5.0,Honda
2258,2004,170000,120000,Petrol,Individual,Manual,Second Owner,13.4,1794,125.0,5.0,Toyota
2259,2014,1700000,80000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7.0,Toyota
2260,2018,490000,7000,Petrol,Individual,Manual,First Owner,20.3,1086,68.0,5.0,Hyundai
2261,2018,1050000,15000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7.0,Mahindra
2262,2016,210000,50000,Petrol,Individual,Manual,First Owner,18.6,1199,76.8,5.0,Chevrolet
2263,2016,1250000,30000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,7.0,Mahindra
2264,2012,320000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Maruti
2265,2012,400000,64000,Diesel,Individual,Manual,First Owner,16.52,1991,123.7,5.0,Chevrolet
2266,2013,320000,120000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,5.0,Maruti
2267,2012,600000,85000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5.0,Toyota
2268,2012,275000,50000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5.0,Maruti
2269,2009,170000,59000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti
2270,2012,155000,98000,Diesel,Individual,Manual,First Owner,25.44,936,57.6,5.0,Chevrolet
2271,2015,620000,140000,Diesel,Individual,Manual,Second Owner,20.45,1461,83.8,5.0,Renault
2272,2017,530000,50000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5.0,Hyundai
2273,2015,550000,40000,Diesel,Individual,Manual,First Owner,23.59,1364,67.04,5.0,Toyota
2274,2014,600000,90000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5.0,Honda
2275,2014,649000,117000,Diesel,Individual,Manual,Third Owner,15.1,2179,140.0,7.0,Mahindra
2276,2014,625000,90000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5.0,Honda
2277,2010,125000,70000,Petrol,Individual,Manual,First Owner,16.0,995,63.0,5.0,Chevrolet
2278,2009,305000,230000,Diesel,Individual,Manual,Second Owner,13.58,2499,72.4,9.0,Chevrolet
2279,2010,285000,155000,Petrol,Individual,Manual,Second Owner,15.5,1586,103.3,5.0,Maruti
2280,2015,600000,60000,Diesel,Individual,Manual,Second Owner,13.49,2179,138.03,5.0,Tata
2281,2016,426000,110000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,6.0,Mahindra
2282,2010,180000,120000,Diesel,Individual,Manual,First Owner,17.0,1405,71.0,5.0,Tata
2283,2011,400000,100000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5.0,Hyundai
2284,2010,120000,40000,Petrol,Individual,Manual,Second Owner,18.6,1199,79.4,5.0,Chevrolet
2285,2012,300000,110000,Diesel,Individual,Manual,Second Owner,21.12,1248,88.8,5.0,Tata
2286,2011,190000,92500,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,5.0,Maruti
2287,2017,310000,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,Maruti
2288,2019,380000,15000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5.0,Renault
2289,2019,740000,14000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7.0,Mahindra
2290,2016,260000,35000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5.0,Datsun
2291,2017,320000,32000,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,5.0,Maruti
2292,2013,211000,90000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5.0,Maruti
2293,2018,650000,35000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5.0,Maruti
2294,2017,651000,32500,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,5.0,Maruti
2295,2019,380000,14000,Petrol,Individual,Automatic,First Owner,23.95,998,67.05,5.0,Maruti
2296,2014,160000,70000,Diesel,Individual,Manual,Third Owner,25.44,936,56.3,5.0,Chevrolet
2297,2019,1270000,20000,Petrol,Individual,Automatic,First Owner,17.0,1591,121.3,5.0,Hyundai
2298,2011,300000,300000,LPG,Individual,Manual,First Owner,26.2,998,58.2,5.0,Maruti
